date,country,event,type
2015-01-01,Norway,New Year's Day,public
2015-02-08,Norway,Mother's Day,unofficial
2015-02-14,Norway,Valentine's Day,unofficial
2015-03-20,Norway,Spring Equinox,other
2015-03-29,Norway,Palm Sunday,unofficial
2015-03-29,Norway,Daylight Saving Time Start,other
2015-04-02,Norway,Maundy Thursday,public
2015-04-03,Norway,Good Friday,public
2015-04-04,Norway,Holy Saturday,unofficial
2015-04-05,Norway,Easter Sunday,public
2015-04-06,Norway,Easter Monday,public
2015-05-01,Norway,Labour Day,public
2015-05-08,Norway,Liberation Day,unofficial
2015-05-14,Norway,Ascension Day,public
2015-05-17,Norway,Constitution Day,public
2015-05-24,Norway,Pentecost,public
2015-05-25,Norway,Whit Monday,public
2015-06-21,Norway,Summer Solstice,other
2015-06-23,Norway,Midsummer Eve,unofficial
2015-09-23,Norway,Autumnal Equinox,other
2015-10-25,Norway,Daylight Saving Time End,other
2015-10-31,Norway,Halloween,unofficial
2015-11-08,Norway,Father's Day,unofficial
2015-11-29,Norway,First Sunday of Advent,unofficial
2015-12-06,Norway,Second Sunday of Advent,unofficial
2015-12-13,Norway,Third Sunday of Advent,unofficial
2015-12-20,Norway,Fourth Sunday of Advent,unofficial
2015-12-22,Norway,Winter Solstice,other
2015-12-24,Norway,Christmas Eve,unofficial
2015-12-25,Norway,Christmas Day,public
2015-12-26,Norway,2nd Day of Christmas,public
2015-12-31,Norway,New Year's Eve,unofficial
2016-01-01,Norway,New Year's Day,public
2016-02-14,Norway,Mother's Day,unofficial
2016-02-14,Norway,Valentine's Day,unofficial
2016-03-20,Norway,Palm Sunday,unofficial
2016-03-20,Norway,Spring Equinox,other
2016-03-24,Norway,Maundy Thursday,public
2016-03-25,Norway,Good Friday,public
2016-03-26,Norway,Holy Saturday,unofficial
2016-03-27,Norway,Easter Sunday,public
2016-03-27,Norway,Daylight Saving Time Start,other
2016-03-28,Norway,Easter Monday,public
2016-05-01,Norway,Labour Day,public
2016-05-05,Norway,Ascension Day,public
2016-05-08,Norway,Liberation Day,unofficial
2016-05-15,Norway,Pentecost,public
2016-05-16,Norway,Whit Monday,public
2016-05-17,Norway,Constitution Day,public
2016-06-20,Norway,Summer Solstice,other
2016-06-23,Norway,Midsummer Eve,unofficial
2016-09-22,Norway,Autumnal Equinox,other
2016-10-30,Norway,Daylight Saving Time End,other
2016-10-31,Norway,Halloween,unofficial
2016-11-13,Norway,Father's Day,unofficial
2016-11-27,Norway,First Sunday of Advent,unofficial
2016-12-04,Norway,Second Sunday of Advent,unofficial
2016-12-11,Norway,Third Sunday of Advent,unofficial
2016-12-18,Norway,Fourth Sunday of Advent,unofficial
2016-12-21,Norway,Winter Solstice,other
2016-12-24,Norway,Christmas Eve,unofficial
2016-12-25,Norway,Christmas Day,public
2016-12-26,Norway,2nd Day of Christmas,public
2016-12-31,Norway,New Year's Eve,unofficial
2017-01-01,Norway,New Year's Day,public
2017-02-12,Norway,Mother's Day,unofficial
2017-02-14,Norway,Valentine's Day,unofficial
2017-03-20,Norway,Spring Equinox,other
2017-03-26,Norway,Daylight Saving Time Start,other
2017-04-09,Norway,Palm Sunday,unofficial
2017-04-13,Norway,Maundy Thursday,public
2017-04-14,Norway,Good Friday,public
2017-04-15,Norway,Holy Saturday,unofficial
2017-04-16,Norway,Easter Sunday,public
2017-04-17,Norway,Easter Monday,public
2017-05-01,Norway,Labour Day,public
2017-05-08,Norway,Liberation Day,unofficial
2017-05-17,Norway,Constitution Day,public
2017-05-25,Norway,Ascension Day,public
2017-06-04,Norway,Pentecost,public
2017-06-05,Norway,Whit Monday,public
2017-06-21,Norway,Summer Solstice,other
2017-06-23,Norway,Midsummer Eve,unofficial
2017-09-22,Norway,Autumnal Equinox,other
2017-10-29,Norway,Daylight Saving Time End,other
2017-10-31,Norway,Halloween,unofficial
2017-11-12,Norway,Father's Day,unofficial
2017-12-03,Norway,First Sunday of Advent,unofficial
2017-12-10,Norway,Second Sunday of Advent,unofficial
2017-12-17,Norway,Third Sunday of Advent,unofficial
2017-12-21,Norway,Winter Solstice,other
2017-12-24,Norway,Christmas Eve,unofficial
